classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
4,8078,-7455,-15192,13151,-14166,-21882,-22700,7292,-10592,-8627,-9875,-3566,168,65223,602,80,-5456
4,-1717,1122,-15872,-11356,521,14148,-5136,8348,-15316,3583,1470,24007,51,65227,602,80,-5456
4,12578,377,-12385,-1665,16732,3829,14012,-12208,-720,-2848,82,-880,219,59,366,80,-5456
4,17583,-5526,9,-6210,-262,987,10888,-13256,-10348,5247,-17988,-2181,227,65206,591,80,-5472
4,830,-13518,-14538,5558,-27710,-32768,-4932,5652,-18112,-5359,3837,4026,162,65230,599,80,-5472
4,-5915,5050,-16670,-16777,21275,15773,13896,-4512,-1304,-4344,3156,6383,198,93,347,80,-5456
4,17103,-5624,-2661,-1473,1208,-832,16972,-4196,-972,-4142,-1612,1887,143,86,384,80,-5472
4,13322,-11404,-15210,18778,-30676,-6060,-32768,25988,-20684,-7501,-8289,-8445,180,65212,601,80,-5472
4,-3048,-2268,-19892,-5490,1671,7690,-3996,-1296,-16860,-8449,23283,16773,168,65474,504,80,-5456
4,11819,-2567,-4162,-8903,3215,3143,20032,-10096,-8256,-4811,511,336,116,115,357,80,-5488
4,14813,-7983,-6183,777,-11677,4818,-240,-20064,-15956,477,-29821,-32768,305,65114,564,80,-5472
4,-394,12245,-20423,-6898,5367,11021,-13096,10500,-17228,-1481,6470,27784,38,65243,598,80,-5488
4,12834,-3493,-11400,-1753,12306,5601,16716,-8496,-612,-8133,1660,-1566,161,111,341,80,-5440
4,15226,-4292,-794,-4892,391,647,11016,-14308,-10360,14226,-25201,-5486,223,65324,561,80,-5456
4,-10276,-17413,-12466,-31430,-14842,-32768,-3948,760,-17408,-6244,-1086,8386,119,65221,602,80,-5472
4,-4707,5988,-20240,-16146,15937,24169,11920,-8932,-960,676,4575,-27,153,114,348,80,-5488
4,16580,-7404,-745,-3737,-1135,273,14220,-8080,-5204,-7808,-4602,4346,119,10,462,80,-5488
4,10608,-8771,-8292,16513,-25529,-8874,-32768,14692,-16496,13455,-12716,-17324,194,65241,593,80,-5488
4,-4239,2134,-19969,-19100,3798,15348,8800,4372,-12192,-8852,9507,14692,79,90,394,80,-5488
5,14202,-7885,-1048,-4310,-2533,1913,9848,-14896,-5840,10052,-13500,-12546,284,65389,499,80,-5472
5,-16838,32767,-13497,-5875,766,-10062,9816,14368,-4300,-10135,2786,12503,65483,15,427,80,-5504
5,7913,3178,-7193,-2174,777,7087,10000,-2344,-3832,-5008,4019,4349,107,99,377,80,-5488
5,13287,-2417,-2854,418,1047,1971,15140,-10580,-8428,-1276,-6154,6094,200,65515,465,80,-5504
5,5146,-11005,-8224,17517,-13208,-11525,32767,29996,-20128,2090,-2091,666,65509,65497,466,80,-5504
5,18756,19304,-11584,-19664,6191,6380,6220,8824,-5408,-3165,-1495,11061,105,128,346,80,-5472
5,14962,-5408,-1428,334,1160,2131,15344,-6524,-3152,-5009,-1245,670,134,80,389,80,-5504
5,15655,-7800,-3448,7391,-7690,4929,-28200,4632,-11384,-3243,-3463,-32768,65518,65491,471,80,-5504
5,10703,7063,-13254,643,-103,2051,9128,19752,-9812,-6721,3388,11407,65520,146,310,80,-5488
5,7406,401,-2113,-3988,-205,7241,24220,-12600,-7440,-2926,-1290,-165,118,111,361,80,-5520
5,19084,-6299,-5594,-1337,-6711,8722,-276,-11732,-8564,5001,-17470,-22573,262,65325,540,80,-5504
5,32766,32767,-7723,837,-1795,-110,14912,23620,-11064,-10259,2847,7543,65456,94,342,80,-5488
5,7208,4352,-7114,1601,2160,9587,19628,-11444,-1952,-2894,898,65,139,121,338,80,-5504
5,17115,-6702,-4388,-179,-4636,5219,4832,-8576,-5952,6262,-15816,-10961,299,65335,515,80,-5456
5,2730,32767,-13578,-531,-2744,-11214,14216,14068,-12268,-12057,5125,12181,65534,20,443,80,-5504
5,2991,5217,-7575,-5031,2238,8846,10672,-2328,-3296,-7152,4846,4795,132,127,329,80,-5504
5,14271,-2426,-1550,-4046,-2051,2253,14532,-7244,-4612,7945,-9914,5594,291,65353,513,80,-5504
5,-6393,-6619,-9740,-1084,-11670,-30916,21480,18008,-25052,3186,3078,1688,10,65498,476,80,-5504
5,14747,24070,-10707,-8509,3458,8577,6712,3004,-4432,-1189,1119,8339,96,113,364,80,-5504
5,24375,-5876,-3138,-3574,533,-781,16648,-8876,-7252,1655,-13096,9560,189,65464,505,80,-5504
6,19260,-7079,-3153,-1478,-1619,1130,15712,-7328,-5212,8076,1697,-821,249,63,336,89,-5488
6,15624,-7129,-994,32767,-6468,18522,7932,-4324,13380,16423,-5140,32767,65531,65422,65186,90,-5488
6,-4629,-5133,18162,-13652,3885,-13079,-1740,-16716,8688,-29392,22419,-23295,457,65246,89,91,-5520
6,10041,-8570,-1236,-24616,6915,-12313,21848,-5016,-1068,-6292,-1143,-335,129,127,330,91,-5456
6,15026,-8737,-3904,11797,-1108,9930,7928,-11216,5356,26725,-21895,18832,338,65105,65355,93,-5504
6,1040,1667,8947,-2960,-3390,24119,76,-4380,16432,-19772,10114,-14006,253,65271,65274,94,-5488
6,749,-16764,2938,-26085,19595,-21915,10584,-9248,-276,-12690,9654,-3237,215,106,313,94,-5472
6,20371,-8303,944,-5642,-1140,-1500,15772,-12028,-4916,15202,-8083,9025,357,65469,343,95,-5504
6,9494,-4788,1939,26051,-13568,15914,-17268,1052,19240,5574,-6235,25828,73,65379,65188,95,-5504
6,-5225,-6229,16534,-18721,7118,-17602,1548,-18384,-648,-29779,22764,-11108,408,65403,302,96,-5504
6,9816,-3463,-231,-13237,5558,-4855,19152,-9452,-5372,-2884,822,-1005,135,133,320,96,-5472
6,18661,-9743,-5554,19030,-4130,12510,9200,-6112,5964,19509,-17331,16836,371,65141,65398,96,-5504
6,-14260,1536,17534,767,-11009,32655,284,-5688,19720,-14655,3562,-12256,185,65319,65228,96,-5504
6,3625,-16189,2991,-26656,21454,-22108,7296,-5976,1972,-16150,15815,-5923,319,51,217,96,-5504
6,13883,-12292,7036,-4621,-8683,-8527,18040,-5864,-5240,-2110,-560,10043,278,12,369,96,-5488
6,7905,-7767,2821,30722,-22234,28556,-11676,768,18812,-3684,-10121,24039,59,65413,65190,96,-5488
6,-2424,-4960,15532,-13722,4227,-13040,496,-20924,2924,-27334,25736,-14489,412,65391,309,96,-5504
6,7189,-5741,-2748,-11862,4883,-4628,22040,-9300,-836,-5397,-781,-1612,129,146,301,96,-5488
6,20491,-10585,-3118,20713,-6312,15670,9576,-8584,6060,26825,-20738,16908,342,65106,65364,96,-5488
6,-14330,8160,23076,1291,-2325,18721,772,-5064,15716,-19880,9120,-14859,272,65234,65286,96,-5472
0,15338,222,-1115,-122,-120,135,16452,-1484,-2796,-83,-69,-139,155,104,355,7,-5584
0,15216,76,-1150,-152,186,-171,16264,-1664,-2556,-221,-320,-160,162,97,359,7,-5600
0,15452,45,-1100,-280,0,-56,16428,-1536,-2984,-403,-254,69,158,97,360,7,-5616
0,15173,-277,-1383,-43,248,-5,16672,-1356,-2808,-168,-149,-125,156,101,358,7,-5584
0,15684,266,-1095,-818,92,-315,16572,-988,-2876,-65,-486,462,164,94,363,7,-5584
0,15410,-21,-2409,759,162,542,16096,-1748,-3292,-327,187,-233,163,91,366,7,-5584
0,15729,-20,-1321,-63,-18,270,16572,-1636,-3036,-288,121,-153,158,98,362,7,-5600
0,15198,36,-1130,227,360,-195,16280,-1684,-2576,-393,-212,-198,161,96,360,7,-5600
0,15274,-181,-992,-408,18,-113,16368,-1608,-2884,-488,39,130,151,101,359,7,-5568
0,15600,314,-1327,194,160,-4,16548,-1516,-2996,-1144,-5,-119,149,105,358,7,-5616
0,15517,-152,-1108,-144,53,-143,16444,-1688,-2612,-230,-38,-45,151,102,359,7,-5568
0,15496,35,-839,-13,91,95,16388,-1896,-3092,-91,-87,-283,157,98,361,7,-5552
0,15460,-41,-1000,-155,60,124,16520,-1552,-2688,-99,-275,66,156,96,363,7,-5552
0,15344,-2,-1254,-192,57,-134,16540,-1476,-3000,-217,21,-138,150,103,359,7,-5536
0,15401,-264,-838,-176,-123,103,16604,-1912,-3132,-357,-103,-303,157,93,366,7,-5568
0,15276,-165,-1337,-185,21,91,16412,-1648,-3144,-80,-130,-42,158,96,364,7,-5520
0,15136,-538,-958,212,190,-77,16252,-1840,-2852,-511,-122,-147,162,86,369,7,-5552
0,15327,-370,-1240,-237,7,-206,16452,-1912,-2984,-303,-43,-214,153,94,364,7,-5552
0,15417,-85,-1225,-210,142,-22,16364,-1600,-3156,-36,-209,69,159,92,365,7,-5536
0,15351,-212,-1261,-324,-90,-101,16404,-1728,-2996,179,-37,207,162,96,363,7,-5552
1,2048,4956,8654,-17906,18695,1298,-1080,-13460,8524,2313,292,1200,302,65300,65313,7,-5536
1,-3630,-12174,10692,132,-330,471,-820,-12836,12292,-661,-491,8,286,65302,65298,7,-5520
1,-2825,-11880,9905,-122,-206,349,-476,-12728,11404,134,125,-308,273,65313,65289,7,-5536
1,-2997,-11562,10518,947,-187,126,-248,-12024,11872,546,-20,83,263,65313,65278,7,-5520
1,-2706,-11221,11210,-504,373,-3,-348,-11776,11688,-394,53,-176,258,65316,65275,7,-5504
1,-2755,-11174,11037,-473,184,-272,-128,-11812,12012,233,-371,-22,253,65323,65270,7,-5552
1,-2805,-11163,11432,-514,-161,-26,-40,-11728,12156,-47,-400,-245,249,65336,65271,7,-5536
1,-2494,-10820,10820,37,-93,114,440,-11468,12332,189,-219,3,244,65334,65267,7,-5552
1,-2567,-10637,11329,79,213,75,1404,-9656,12812,1648,-293,441,235,65327,65258,7,-5536
1,-4428,-10531,9863,-584,513,1685,1116,-10804,14104,219,-479,487,242,65318,65260,7,-5520
1,-3477,-9855,10937,188,385,-879,120,-11180,12800,-307,114,-503,235,65339,65260,7,-5536
1,-2900,-10227,11520,114,398,-383,160,-11192,12660,-661,-450,-193,233,65337,65256,7,-5552
1,-2579,-10331,11528,-76,139,7,240,-10956,13560,-356,-71,-111,227,65341,65255,7,-5520
1,-2798,-10026,11838,-292,-13,-45,208,-10736,13128,-485,-34,8,226,65339,65251,7,-5536
1,-2701,-9944,12149,-682,58,-23,-8,-10688,13760,-8,-173,-329,223,65340,65249,7,-5520
1,-2520,-9751,11654,-522,336,146,208,-10852,13052,94,-202,-73,220,65340,65249,7,-5520
1,-2925,-9975,11835,60,15,137,156,-10448,13544,-280,-113,-234,221,65341,65249,7,-5488
1,-2721,-9988,12016,-132,-176,-323,512,-10428,13384,137,-226,-136,215,65350,65247,7,-5520
1,-2587,-9589,12264,-3,341,229,348,-10552,13476,-140,92,-169,213,65344,65242,7,-5520
1,-2607,-9578,13009,-81,104,-91,340,-10372,13792,119,-405,-348,214,65345,65246,7,-5520
2,14592,19078,24188,5464,-1735,-3533,13304,10332,5744,1760,-3755,-82,65320,121,92,7,-5520
2,6156,14603,3914,2096,115,-1965,9148,13252,4824,-531,-111,2050,65294,104,50,7,-5552
2,6306,14153,4831,-778,867,-254,9056,12748,5716,3722,-1790,-1565,65294,97,70,7,-5520
2,6317,14092,6472,2239,700,-1106,8796,13052,5884,1286,-998,-357,65269,73,51,7,-5520
2,5241,14418,4134,-443,-245,-363,8836,12884,5416,-710,29,58,65275,76,64,7,-5520
2,5216,14552,4659,-304,-123,157,8848,12912,5564,-327,92,-155,65271,71,59,7,-5536
2,5302,14494,4403,-655,72,70,8720,13004,5276,-503,-219,-221,65272,72,52,7,-5536
2,5114,14442,4273,-385,76,-162,8968,13128,5376,381,-202,5,65268,70,56,7,-5504
2,5112,14420,4231,-48,158,-287,8640,13120,5216,-444,-27,14,65267,69,55,7,-5520
2,5136,14753,4233,-268,-134,94,8736,13076,5420,25,10,-204,65270,69,57,7,-5488
2,5042,14485,4519,106,91,107,8844,12936,5464,-266,-75,-187,65271,70,56,7,-5536
2,4838,14432,4578,133,110,30,8656,13112,5728,-373,-190,-73,65272,71,60,7,-5504
2,5146,14588,4451,-429,37,42,8628,12844,5568,-154,-100,-208,65268,69,53,7,-5520
2,5005,14480,4465,-191,134,64,8840,13140,5336,-219,17,-201,65270,69,56,7,-5536
2,5024,14601,4455,158,64,77,8596,13148,5740,-247,30,-229,65263,68,47,7,-5520
2,5028,14692,4460,-373,-219,-128,8564,13348,5468,39,-18,-19,65271,67,57,7,-5504
2,4880,14725,4423,293,23,267,8504,13256,5248,-778,99,-238,65266,67,50,7,-5504
2,4835,14603,4455,611,164,368,8580,13080,5664,-651,-21,-205,65273,71,51,7,-5504
2,4904,14529,4493,197,-299,281,8764,13100,5544,-172,-173,-362,65266,66,57,7,-5488
2,4921,14455,4178,-283,268,81,8876,13140,5428,150,-21,-176,65274,71,58,7,-5520
3,5735,14426,-8210,19361,-25929,12634,1808,2724,-16424,3648,-8671,10358,56,64686,414,7,-5504
3,-12034,2544,-15301,2448,505,3827,-10036,6716,-12756,-1201,-456,1128,65518,64675,347,7,-5536
3,-9593,4095,-13348,-430,-209,-596,-9592,6416,-10112,-523,-483,-54,65495,64674,331,7,-5536
3,-10016,5142,-14135,-537,-61,218,-10040,6796,-10040,-810,-213,-182,65488,64670,313,7,-5536
3,-10282,5910,-13648,126,47,111,-10112,7008,-9764,-343,-84,-206,65482,64672,315,7,-5552
3,-10207,5872,-13580,-88,-126,113,-10432,7316,-9672,-196,-79,-234,65482,64670,310,7,-5552
3,-10603,5781,-13774,-646,83,9,-10164,7356,-9824,-791,-92,81,65482,64673,313,7,-5504
3,-10290,6030,-13803,121,27,7,-9884,7284,-9592,-543,204,-204,65477,64675,319,7,-5520
3,-10054,6068,-13605,-360,134,24,-10020,7488,-9912,-213,-58,-11,65480,64678,316,7,-5488
3,-10272,6086,-14100,1527,153,-204,-9932,6880,-10500,444,29,67,65486,64682,339,7,-5520
3,-9680,5357,-14325,-820,-453,-295,-9872,6888,-10268,-28,280,-547,65489,64681,331,7,-5536
3,-9514,6165,-14005,-67,28,91,-9748,7480,-10024,-403,-240,-229,65482,64678,327,7,-5504
3,-10077,6081,-13964,-133,105,88,-9912,7216,-10180,-198,-125,-115,65489,64677,326,7,-5504
3,-9852,5755,-13749,-24,-5,10,-9792,7352,-10084,-406,-1,-137,65486,64678,332,7,-5504
3,-9916,5789,-13902,-119,-24,0,-9736,7268,-10052,-376,25,-134,65490,64677,329,7,-5520
3,-10009,5743,-13761,-120,-222,-76,-9908,7328,-10296,-274,-70,-131,65484,64674,324,7,-5536
3,-10272,5887,-13768,-377,-15,-93,-9928,7264,-9764,-677,-44,-75,65491,64673,322,7,-5504
3,-10235,5956,-13722,-13,76,-56,-10176,6936,-10060,-137,-100,-152,65486,64671,322,7,-5488
3,-10245,5821,-13780,-103,-19,-98,-10100,7004,-10004,-115,-252,-158,65490,64670,320,7,-5520
3,-10483,5761,-13495,-180,72,-53,-10752,6948,-10008,436,-482,41,65489,64669,310,7,-5504
4,15929,-3771,616,-3016,928,-1403,14004,-8528,-3688,-9472,-5816,4237,156,65509,480,7,-5504
4,9507,-9926,-11702,10294,-15934,-4117,-2792,-18004,-16900,-15949,-12076,-32768,200,65272,584,7,-5504
4,-4084,3288,-18082,-1622,2022,3070,-7304,6608,-16720,-20808,10516,21598,65512,65404,530,7,-5504
4,9321,738,-13776,696,9592,10857,14112,-6456,1820,831,4187,2668,202,86,345,7,-5520
4,13542,-4976,-162,-714,734,409,14816,-5648,-1008,-7493,-1933,4700,195,51,393,7,-5520
4,9136,-13765,-2121,9474,-20709,-3305,-32768,6360,-14796,-1646,1411,3307,190,65269,588,7,-5504
4,-1806,2244,-19462,-7824,-754,13093,-8328,5960,-11308,-2782,4582,25652,92,65179,616,7,-5536
4,11802,-8644,-16739,-530,19270,-739,16372,-10176,1400,-2605,-24,-506,227,64,351,7,-5504
4,14558,-6199,-1461,-4602,-410,774,11608,-12972,-7288,510,-16660,2,196,65263,588,7,-5504
4,623,-16630,-12913,25986,-28073,-31479,-7348,16272,-20884,-3636,3760,1201,207,65248,585,7,-5504
4,-3971,6052,-18917,-6606,3627,29081,-1020,156,-14012,5064,2470,22858,169,65235,600,7,-5520
4,10191,-14030,-4659,3640,9402,-5233,13888,-10656,-2220,1613,2315,-576,285,23,339,7,-5504
4,14986,-7361,2168,-2746,-2954,-6430,13312,-6032,-2808,-7415,-5808,8668,210,65483,480,7,-5504
4,8623,-15669,-11133,18167,-31438,-20538,-632,25816,-15628,-7689,-988,-146,140,65301,587,7,-5552
4,-1721,6756,-22395,-13071,9938,31013,4256,-8372,-17256,-5017,18479,5043,180,72,386,7,-5520
4,12873,-3603,1654,-706,-406,30,16652,-6736,-4408,-3814,78,1527,175,76,374,7,-5536
4,12944,-5481,-2584,-9927,-5993,2958,6952,-12968,-12316,5615,-23235,-16457,246,65071,595,7,-5520
4,-32768,12167,-11882,29489,-9867,-15897,-2176,7428,-13448,-7777,-428,22914,95,65187,608,7,-5552
4,-104,8524,-19218,-10443,1805,24188,12272,-10824,-8220,-2292,13877,-514,186,55,396,7,-5520
4,16047,-8478,-392,-2388,-737,-459,15488,-6904,-2568,-4385,-204,1875,172,46,412,7,-5504
5,10442,-6798,-1696,-3868,2043,2498,16724,-6160,-4932,-2258,-1262,463,122,96,374,7,-5520
5,17189,-9399,-2374,-2431,-4743,7513,40,-16956,-7084,16605,-22618,-22945,195,65434,515,7,-5536
5,28595,10408,-16155,779,-550,1740,12012,21796,-11168,-7720,1621,11049,65485,98,358,7,-5520
5,8892,2136,-8348,-3816,2393,7447,21976,-7668,-3704,-3148,-1336,1061,161,81,377,7,-5552
5,14866,-2114,-1706,-334,88,-704,15536,-8996,-8180,2449,-7748,8652,265,65365,523,7,-5504
5,-1657,-14298,-8627,5184,-19628,-29156,24688,3944,-5948,-1584,-78,2359,65526,65488,480,7,-5520
5,14116,21416,-7476,-23541,1074,8786,6408,4464,-8820,6452,1699,7819,50,99,388,7,-5520
5,14605,-2143,332,-2667,267,2602,14204,-4424,-5052,-1672,-198,264,105,77,398,7,-5520
5,16453,-6289,-6168,1043,-6363,8480,-1368,-13956,-9152,7213,-23379,-26190,154,65403,543,7,-5536
5,21673,16367,-25182,907,3365,-2769,16012,20708,-12364,-15358,5243,13177,65475,74,379,7,-5536
5,9446,1387,-4269,2170,1437,7360,16884,-7552,-1744,262,-1188,2091,132,101,363,7,-5536
5,14872,-2353,-1674,-5442,-933,1096,14920,-7124,-8540,7303,-8113,5425,245,65384,527,7,-5536
5,-539,-11700,-10178,17935,-16916,-25023,26812,19948,-17856,-509,-2846,4465,11,65492,479,7,-5552
5,19778,22310,-17204,-29470,6207,11408,2528,1652,-6136,-33,-224,9245,107,80,402,7,-5552
5,17680,-4927,-1552,-6530,2355,-6368,15532,-3576,-4636,-3151,-521,421,78,90,392,7,-5520
5,16903,-2193,-5628,6029,-7492,9342,-3356,-13712,-7324,-10116,-11741,-32768,98,65454,520,7,-5552
5,20735,18691,-12282,1102,-1181,1750,11832,24148,-9536,-10882,4676,10518,65445,89,345,14,-5536
5,9925,2411,-6576,-3067,1070,5585,16788,-5356,-488,-5392,120,-1366,65,127,343,15,-5552
5,15102,-991,-1877,-5164,-2505,4603,11648,-5916,-3844,6588,-10767,6576,283,65283,548,17,-5552
5,-8742,-10053,-12383,8255,-10831,-32768,19028,12420,-28368,-2269,-1164,4881,65523,65461,491,18,-5536
6,14846,-2640,-1777,8668,-2250,6936,13128,-5560,-1860,15936,-11761,14875,447,65256,38,19,-5552
6,8766,-1605,15309,31308,-2656,32767,804,-4132,15204,-14323,1567,-5520,155,65301,65209,19,-5504
6,-3022,-15462,9937,-32768,19225,-28638,10620,-10288,-3500,-11453,9280,-7277,178,133,302,19,-5536
6,16643,2080,8149,-6971,-150,2208,17936,-5488,-1388,-4003,211,-121,110,139,315,19,-5504
6,20196,-12132,-5711,28679,-7281,20583,7756,-5256,16144,32767,-21567,32767,65524,65332,65164,19,-5568
6,-9354,-6347,16365,-4917,-1418,630,-1644,-13348,13288,-25091,17880,-17083,372,65167,65401,19,-5504
6,5830,-15152,-5478,-29620,17696,-12356,14120,-4120,152,2455,4837,-3178,137,162,273,19,-5520
6,16534,-3615,-1518,-3964,-1741,51,16208,-3352,-1692,7774,-4266,6269,205,86,346,19,-5520
6,14881,-3158,-219,26929,-7490,20576,-11544,1368,18948,3503,-5318,28033,65532,65391,65175,19,-5536
6,-4765,-3416,14134,-32745,1471,-22484,8076,-12420,-12444,-29021,19680,-3179,252,72,320,19,-5504
6,12130,-1934,826,-7998,1581,-1076,21784,-7420,-3976,-1994,-1292,-2079,83,159,295,19,-5568
6,15233,-2152,-1518,-504,-2284,3840,14556,-5940,-144,27861,-11374,15607,473,65196,164,19,-5520
6,1066,-10187,8576,29808,-11777,32767,904,-5828,14180,-8522,608,-2751,53,65371,65180,19,-5536
6,1074,-16613,1992,-32768,27550,-21218,14876,-1628,-2384,-5303,2657,-318,97,159,298,19,-5488
6,14532,-2962,-1754,-600,-468,-101,17828,-3164,-2660,-2710,-1714,2834,107,123,346,19,-5504
6,15726,-7530,-5296,32767,-13217,24957,3740,2496,13940,-4977,-10524,32767,13,65455,65194,19,-5536
6,-3734,-4203,15447,370,1614,-3050,-212,-19652,4952,-32768,32767,-9502,369,65427,371,26,-5520
6,11242,-4159,-5660,-2909,4332,-1823,14396,-4072,552,-857,302,1533,210,102,317,26,-5520
6,16393,-3683,-60,-7563,1070,-23,16192,-13080,-4884,32767,-21021,20741,464,65183,86,26,-5472
6,8905,12895,25732,11506,-8951,32767,2072,-3224,18140,-4374,943,-3634,111,65346,65193,26,-5536
0,15230,712,-844,-162,94,141,16360,-1152,-2636,-47,-143,-298,113,109,362,41,-5488
0,15599,704,-1188,308,182,287,16432,-1528,-2640,-295,-115,-109,121,105,363,41,-5488
0,15365,281,-1199,-387,120,-173,16440,-1068,-2504,-339,-75,-399,112,109,362,41,-5488
0,15348,786,-1011,632,90,256,16136,-912,-884,2107,733,-556,138,116,343,41,-5488
0,17637,1599,161,5022,244,-1820,16652,2588,1384,4544,1187,-1688,193,132,272,41,-5472
0,12635,-1710,-1267,-3670,-387,-97,13840,-2372,-2864,-1655,689,-1605,186,110,318,41,-5504
0,14597,763,-240,-726,67,-409,15908,-672,-2624,-1276,50,378,180,113,318,41,-5472
0,15276,549,-478,-659,-214,-154,16352,-1264,-2540,238,-223,-353,179,108,323,41,-5472
0,15827,526,-668,-238,-117,-46,16492,-1228,-2116,391,75,-269,184,111,318,41,-5472
0,15481,106,-104,52,497,-601,16392,-1636,-2720,403,-233,-839,181,120,305,41,-5488
0,15545,866,-356,-256,80,161,16412,-1076,-2248,-370,-99,-275,187,116,307,41,-5472
0,15364,509,-362,154,310,12,16520,-796,-1924,-302,-167,-13,184,116,306,41,-5488
0,15283,548,-241,-120,146,307,16684,-1240,-1944,-100,-36,15,191,114,307,41,-5472
0,15663,313,-373,-483,-62,-34,16380,-1012,-2132,-19,-49,-394,189,115,307,41,-5456
0,15214,606,-383,-56,22,103,16876,-1240,-2312,-707,-29,-70,188,114,309,41,-5456
0,15399,408,-295,-292,-182,-26,16456,-996,-2292,-401,-72,57,187,112,312,41,-5456
0,15439,678,-445,-790,-226,604,16456,-1280,-2848,-61,50,19,192,107,314,41,-5488
0,15490,469,-561,217,251,320,17300,-1504,-1592,-532,-302,728,197,106,312,41,-5472
0,15136,446,41,-67,-190,96,16552,-1028,-2648,-101,34,47,191,112,310,41,-5456
0,15572,205,-131,-121,-138,57,16516,-1400,-1916,-220,1,-28,194,111,309,41,-5440
1,30810,-4697,7153,-25349,30898,2560,-2388,-11884,5324,-704,1887,-582,369,65311,65410,41,-5456
1,-3205,-12261,8243,283,-169,431,-1028,-13120,10752,-329,-683,-177,360,65335,65402,41,-5440
1,-3417,-12949,9667,489,-7,456,-1100,-12676,10552,681,-1024,-482,354,65343,65394,41,-5440
1,-2738,-12176,9979,186,-172,3,-516,-12620,11064,-506,-63,-36,350,65348,65390,41,-5440
1,-3060,-12012,10038,-132,-111,-187,-188,-12328,11020,69,-480,-186,343,65359,65383,41,-5440
1,-2640,-11444,10693,67,-34,76,-584,-12416,11452,-730,-230,-305,338,65360,65377,41,-5424
1,-2942,-11802,10517,-591,-192,-263,28,-11944,11720,-138,-37,180,334,65361,65370,41,-5440
1,-2213,-11582,10334,316,-430,518,8,-12780,10988,-1004,-413,299,343,65368,65389,41,-5424
1,-3126,-10435,9786,-948,-1254,998,308,-12836,10968,3380,-219,190,326,65387,65375,41,-5408
1,-1048,-7946,12508,-298,-1604,171,-848,-10984,12000,2432,-343,774,301,65388,65340,41,-5440
1,-4850,-12841,11307,1295,1335,504,1540,-9208,13244,1194,-997,-1560,304,65377,65339,41,-5440
1,-2934,-8499,11195,-269,-988,378,-80,-10736,11940,-731,-23,-21,304,65373,65339,41,-5408
1,-2932,-9800,12189,113,-127,128,40,-10820,13136,-259,290,-213,305,65365,65338,41,-5408
1,-2998,-9599,12400,-511,50,-96,-64,-10420,13128,-162,-191,-54,301,65367,65335,41,-5440
1,-3250,-9494,12255,297,46,101,-244,-10172,12960,-90,-263,-96,299,65369,65333,41,-5440
1,-3138,-9304,12432,-670,-305,44,-204,-10428,13968,-281,-326,-212,298,65370,65330,41,-5424
1,-2903,-9081,12002,711,640,371,-288,-9940,13656,-249,85,-207,294,65369,65327,41,-5424
1,-3184,-9391,12281,-179,-97,332,-156,-10200,14112,-890,-436,56,292,65373,65324,41,-5424
1,-3121,-8899,12140,-92,-29,-17,172,-9592,13340,140,328,201,286,65373,65320,41,-5440
1,-3295,-8801,12933,971,-175,103,-416,-9872,14156,-733,-89,-273,287,65374,65319,41,-5440
2,21917,18731,96,5842,1875,6489,9416,-1452,1180,9015,-18330,1190,209,1,435,41,-5440
2,8443,6367,-17209,-6417,17772,-2973,9868,-1132,-3404,5805,2542,-6819,65422,192,82,41,-5424
2,9798,15328,3749,-905,1071,-1810,10416,12168,3684,81,143,-41,65370,166,35,41,-5408
2,6743,14038,3257,409,489,314,10836,12244,4240,-651,184,-243,65358,161,20,41,-5424
2,6567,13931,3180,633,-121,-90,10140,12412,3752,266,218,-365,65354,157,14,41,-5408
2,6523,14434,3594,266,-324,303,10228,12568,2904,-574,371,-213,65347,151,23,41,-5440
2,6567,15140,3763,-2226,1108,83,9588,13020,4044,-134,112,224,65347,150,16,41,-5408
2,6115,14212,3162,460,-142,-103,9476,13104,3276,21,-305,-252,65343,149,22,41,-5408
2,5805,14750,2811,-246,-129,145,9468,13212,3632,28,-235,-182,65342,149,27,41,-5408
2,6082,14524,2534,-62,206,158,9556,13140,3652,-658,38,-32,65342,148,21,41,-5408
2,5847,14078,2674,-1048,90,9,9348,13544,3824,-58,17,-163,65340,146,14,41,-5424
2,5677,14689,3056,-169,-21,99,9272,13168,4004,754,-48,-336,65338,144,12,41,-5440
2,6005,14325,2849,135,-289,241,9420,13252,3632,-553,208,28,65341,148,22,41,-5456
2,6218,14746,3228,-1336,402,89,9416,13192,3804,-191,108,-87,65345,148,18,41,-5424
2,5970,14814,2974,-733,-392,134,9756,12852,3768,57,-104,-441,65346,150,26,41,-5408
2,6373,14651,2951,192,-101,331,9716,13048,3400,-312,-159,-264,65350,152,34,41,-5456
2,6589,14411,2621,-615,22,282,9588,12640,3220,188,-91,-465,65347,153,36,41,-5440
2,5948,14438,2193,479,-209,-98,9072,13340,3260,97,-116,-284,65342,149,31,41,-5424
2,5853,14477,2560,-77,117,128,9556,13128,3444,-478,-212,-313,65342,145,27,41,-5424
2,5851,14626,2779,499,46,213,9208,13120,3200,-440,155,-246,65338,146,26,41,-5440
3,78,14629,-7916,15846,-25733,14482,-7448,3476,-13852,2024,-5059,9914,107,64678,413,41,-5424
3,-10384,1337,-15597,-8471,-1005,-1573,-10404,5328,-10424,147,-2023,73,41,64646,362,41,-5424
