classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
1,-2632,-11103,11582,230,98,406,4,-11908,11908,-415,-36,563,276,65327,65294,7,-5360
1,-3014,-11761,10764,187,-300,86,-228,-12440,11436,36,108,-306,274,65328,65290,7,-5376
1,-3024,-11385,10939,-382,188,-238,-24,-12200,11460,-213,-56,-16,269,65336,65290,7,-5424
1,-2922,-11359,10758,-414,156,-88,-204,-11972,11624,-456,-221,-194,269,65329,65287,7,-5344
1,-2821,-11036,10572,-528,81,-44,-344,-12000,12060,10,-101,-334,263,65336,65286,7,-5376
1,-2800,-11281,10932,98,94,65,-272,-12020,12240,-709,-120,-170,264,65332,65283,7,-5408
1,-2942,-11070,11112,17,139,-201,80,-11816,11732,-434,8,237,259,65334,65279,7,-5376
1,-2780,-10903,11164,-456,400,-126,-292,-12372,11416,59,-126,-977,256,65344,65280,7,-5376
1,-2638,-11068,10752,-66,262,-214,220,-11500,12828,-224,-367,-349,254,65343,65277,7,-5408
1,-2717,-10809,11015,194,-19,2,0,-11560,12172,381,-589,137,255,65337,65277,7,-5392
1,-2841,-10979,10957,147,-25,92,320,-11392,12364,-850,-109,-104,253,65335,65274,7,-5376
1,-3010,-11133,11277,36,193,-74,148,-11456,12032,-336,69,-86,250,65342,65275,7,-5392
1,-2792,-11048,11152,-22,348,-87,-88,-11624,12048,-196,-83,321,247,65331,65268,7,-5376
1,-2793,-10796,10590,192,471,164,-388,-11444,12728,-384,-221,164,247,65332,65272,7,-5408
1,-3075,-10339,11341,-82,159,328,-460,-11368,12596,-729,-43,-247,245,65325,65267,7,-5360
2,-3174,-6968,491,32729,-18733,10261,19692,8804,10612,2581,-2662,-2994,65413,177,153,7,-5360
2,9826,12215,3877,-139,1680,-5149,10964,14224,4632,283,-13,659,65310,107,93,7,-5408
2,6622,13663,3415,-424,-892,-460,9676,12448,4104,-623,453,-437,65290,90,88,7,-5376
2,6330,13718,3579,-901,73,173,10160,12784,4228,-330,-12,-192,65294,91,91,7,-5360
2,6413,14162,3279,-172,324,244,9992,13072,4276,200,-126,-41,65295,97,87,7,-5360
2,6225,14410,3650,-437,218,-9,9744,13064,4448,-21,-342,-99,65296,98,88,7,-5392
2,6239,14270,3571,-242,16,-103,9920,12600,4520,-356,-236,-169,65296,94,96,7,-5360
2,6294,14237,3363,488,-41,-69,9588,12708,3864,147,-490,-236,65293,90,99,7,-5344
2,6200,14417,3177,16,253,124,9504,12944,4216,-358,65,-161,65295,90,93,7,-5376
2,6239,14491,3483,-297,-41,32,9704,12712,4236,107,-26,2,65289,91,86,7,-5392
2,6322,14335,3655,-170,-31,162,9676,12972,3896,-82,-350,-245,65292,89,93,7,-5376
2,6098,14097,3335,-35,179,-310,9488,13016,4456,-203,87,56,65283,85,87,7,-5376
2,5950,14432,3831,-254,234,179,9244,12876,4572,-710,-119,-99,65290,86,84,7,-5376
2,5808,14586,3901,95,148,176,9352,12780,4588,-370,-251,-91,65286,84,85,7,-5376
2,5756,14404,3489,-68,-274,-254,9476,13172,4448,-931,-189,-26,65282,79,91,7,-5392
2,5704,14359,3367,261,245,-331,9288,13104,4536,-658,-3,-105,65284,76,90,7,-5392
2,5673,14529,3523,-268,157,-160,9244,12868,4496,144,140,-106,65278,78,81,7,-5392
2,5622,14502,3801,-67,16,-84,9156,13156,4572,-394,52,-128,65278,75,80,7,-5408
2,5534,14537,3841,5,-90,46,9148,13160,4304,-276,-109,-86,65280,77,87,7,-5392
2,5884,14452,3550,302,-9,56,9228,13092,4444,-359,-54,-104,65280,80,84,7,-5392
3,8838,19762,7680,-8579,-2453,8288,15712,9628,3636,2872,-310,1630,65424,199,107,7,-5360
3,12237,6133,3169,-18224,732,-224,13640,15820,1188,8211,-8644,2547,65446,32,400,7,-5408
